major,minor,Cash0,Cash1,Cash2,Close,Share0,Share1,Share2,Total0,Total1,Total2
EWG US Equity,2008-05-30,14.3,4.14,9.82,33.53,305.0,295.0,292.0,10240.95,9895.49,9800.58
EWG US Equity,2008-06-02,14.3,4.14,9.82,33.02,305.0,295.0,292.0,10085.4,9745.04,9651.66
EWG US Equity,2008-06-03,14.3,4.14,9.82,32.79,305.0,295.0,292.0,10015.25,9677.19,9584.5
EWG US Equity,2008-06-04,14.3,4.14,9.82,32.59,305.0,295.0,292.0,9954.25,9618.19,9526.1
EWG US Equity,2008-06-05,14.3,4.14,9.82,33.15,305.0,295.0,292.0,10125.05,9783.39,9689.62
EWG US Equity,2008-06-06,14.3,4.14,9.82,32.37,305.0,295.0,292.0,9887.15,9553.29,9461.86
EWG US Equity,2008-06-09,14.3,4.14,9.82,32.49,305.0,295.0,292.0,9923.75,9588.69,9496.9
EWG US Equity,2008-06-10,14.3,4.14,9.82,31.89,305.0,295.0,292.0,9740.75,9411.69,9321.7
EWG US Equity,2008-06-11,14.3,4.14,9.82,31.42,305.0,295.0,292.0,9597.4,9273.04,9184.46
EWG US Equity,2008-06-12,14.3,1847.89,1853.57,31.25,305.0,236.0,233.0,9545.55,9222.89,9134.82
EWG US Equity,2008-06-13,14.3,1847.89,1853.57,31.61,305.0,236.0,233.0,9655.35,9307.85,9218.7
EWG US Equity,2008-06-16,14.3,1847.89,1853.57,31.82,305.0,236.0,233.0,9719.4,9357.41,9267.63
EWG US Equity,2008-06-17,14.3,1847.89,1853.57,32.04,305.0,236.0,233.0,9786.5,9409.33,9318.89
EWG US Equity,2008-06-18,14.3,1847.89,1853.57,31.81,305.0,236.0,233.0,9716.35,9355.05,9265.3
EWG US Equity,2008-06-19,14.3,1847.89,1853.57,32.15,305.0,236.0,233.0,9820.05,9435.29,9344.52
EWG US Equity,2008-06-20,14.3,1847.89,1853.57,31.17,305.0,236.0,233.0,9521.15,9204.01,9116.18
EWG US Equity,2008-06-23,14.3,1847.89,1853.57,31.14,305.0,236.0,233.0,9512.0,9196.93,9109.19
EWG US Equity,2008-06-24,14.3,1847.89,1853.57,31.01,305.0,236.0,233.0,9472.35,9166.25,9078.9
EWG US Equity,2008-06-25,14.3,1847.89,1853.57,30.23,305.0,236.0,233.0,9234.45,8982.17,8897.16
EWG US Equity,2008-06-26,14.3,1847.89,3245.24,29.61,305.0,236.0,186.0,9045.35,8835.85,8752.7
EWG US Equity,2008-06-27,14.3,1847.89,3245.24,29.62,305.0,236.0,186.0,9048.4,8838.21,8754.56
EWG US Equity,2008-06-30,14.3,1847.89,3245.24,29.44,305.0,236.0,186.0,8993.5,8795.73,8721.08
EWG US Equity,2008-07-01,14.3,3.88,25.54,29.27,305.0,299.0,296.0,8941.65,8755.61,8689.46
EWG US Equity,2008-07-02,14.3,3.88,25.54,29.01,305.0,299.0,296.0,8862.35,8677.87,8612.5
EWG US Equity,2008-07-03,14.3,3.88,25.54,28.99,305.0,299.0,296.0,8856.25,8671.89,8606.58
EWG US Equity,2008-07-07,14.3,3.88,25.54,28.95,305.0,299.0,296.0,8844.05,8659.93,8594.74
EWG US Equity,2008-07-08,14.3,3.88,25.54,29.05,305.0,299.0,296.0,8874.55,8689.83,8624.34
EWG US Equity,2008-07-09,14.3,3.88,25.54,29.02,305.0,299.0,296.0,8865.4,8680.86,8615.46
EWG US Equity,2008-07-10,14.3,3.88,25.54,29.08,305.0,299.0,296.0,8883.7,8698.8,8633.22
EWG US Equity,2008-07-11,14.3,3.88,25.54,28.61,305.0,299.0,296.0,8740.35,8558.27,8494.1
EWG US Equity,2008-07-14,14.3,3.88,25.54,28.55,305.0,299.0,296.0,8722.05,8540.33,8476.34
EWG US Equity,2008-07-15,14.3,3.88,25.54,28.25,305.0,299.0,296.0,8630.55,8450.63,8387.54
EWG US Equity,2008-07-16,14.3,3.88,25.54,28.65,305.0,299.0,296.0,8752.55,8570.23,8505.94
EWG US Equity,2008-07-17,14.3,3.88,25.54,29.2,305.0,299.0,296.0,8920.3,8734.68,8668.74
EWG US Equity,2008-07-18,14.3,3.88,25.54,29.39,305.0,299.0,296.0,8978.25,8791.49,8724.98
EWG US Equity,2008-07-21,14.3,3.88,25.54,29.56,305.0,299.0,296.0,9030.1,8842.32,8775.3
EWG US Equity,2008-07-22,14.3,3.88,25.54,29.72,305.0,299.0,296.0,9078.9,8890.16,8822.66
EWG US Equity,2008-07-23,14.3,3.88,25.54,29.71,305.0,299.0,296.0,9075.85,8887.17,8819.7
EWG US Equity,2008-07-24,14.3,3.88,25.54,28.96,305.0,299.0,296.0,8847.1,8662.92,8597.7
EWG US Equity,2008-07-25,14.3,3.88,25.54,29.17,305.0,299.0,296.0,8911.15,8725.71,8659.86
EWG US Equity,2008-07-28,14.3,3.88,25.54,28.72,305.0,299.0,296.0,8773.9,8591.16,8526.66
EWG US Equity,2008-07-29,14.3,3.88,25.54,29.07,305.0,299.0,296.0,8880.65,8695.81,8630.26
EWG US Equity,2008-07-30,14.3,3.88,25.54,29.21,305.0,299.0,296.0,8923.35,8737.67,8671.7
EWG US Equity,2008-07-31,14.3,3.88,25.54,29.18,305.0,299.0,296.0,8914.2,8728.7,8662.82
EWG US Equity,2008-08-01,14.3,3.88,25.54,28.75,305.0,299.0,296.0,8783.05,8600.13,8535.54
EWG US Equity,2008-08-04,14.3,3.88,25.54,28.61,305.0,299.0,296.0,8740.35,8558.27,8494.1
EWG US Equity,2008-08-05,14.3,3.88,25.54,29.24,305.0,299.0,296.0,8932.5,8746.64,8680.58
EWG US Equity,2008-08-06,14.3,3.88,25.54,29.32,305.0,299.0,296.0,8956.9,8770.56,8704.26
EWJ US Equity,2007-05-31,6.76,6.76,6.76,58.44,171.0,171.0,171.0,10000.0,10000.0,10000.0
EWJ US Equity,2007-06-01,6.76,6.76,6.76,58.84,171.0,171.0,171.0,10068.4,10068.4,10068.4
EWJ US Equity,2007-06-04,6.76,6.76,6.76,58.92,171.0,171.0,171.0,10082.08,10082.08,10082.08
EWJ US Equity,2007-06-05,6.76,6.76,6.76,58.84,171.0,171.0,171.0,10068.4,10068.4,10068.4
EWJ US Equity,2007-06-06,6.76,6.76,6.76,58.52,171.0,171.0,171.0,10013.68,10013.68,10013.68
EWJ US Equity,2007-06-07,6.76,6.76,6.76,58.12,171.0,171.0,171.0,9945.28,9945.28,9945.28
EWJ US Equity,2007-06-08,6.76,6.76,6.76,58.68,171.0,171.0,171.0,10041.04,10041.04,10041.04
EWJ US Equity,2007-06-11,6.76,6.76,6.76,58.64,171.0,171.0,171.0,10034.2,10034.2,10034.2
EWJ US Equity,2007-06-12,6.76,6.76,6.76,57.76,171.0,171.0,171.0,9883.72,9883.72,9883.72
EWJ US Equity,2007-06-13,6.76,6.76,6.76,58.0,171.0,171.0,171.0,9924.76,9924.76,9924.76
EWJ US Equity,2007-06-14,6.76,6.76,6.76,58.04,171.0,171.0,171.0,9931.6,9931.6,9931.6
EWJ US Equity,2007-06-15,6.76,6.76,6.76,58.52,171.0,171.0,171.0,10013.68,10013.68,10013.68
EWJ US Equity,2007-06-18,6.76,6.76,6.76,58.44,171.0,171.0,171.0,10000.0,10000.0,10000.0
EWJ US Equity,2007-06-19,6.76,6.76,6.76,58.48,171.0,171.0,171.0,10006.84,10006.84,10006.84
EWJ US Equity,2007-06-20,6.76,6.76,6.76,57.96,171.0,171.0,171.0,9917.92,9917.92,9917.92
EWJ US Equity,2007-06-21,6.76,6.76,6.76,58.4,171.0,171.0,171.0,9993.16,9993.16,9993.16
EWJ US Equity,2007-06-22,6.76,6.76,6.76,57.56,171.0,171.0,171.0,9849.52,9849.52,9849.52
EWJ US Equity,2007-06-25,6.76,6.76,6.76,57.4,171.0,171.0,171.0,9822.16,9822.16,9822.16
