Date,FB US Equity,SPY US Equity,MSCI US Equity,700 HK Equity,PG US Equity
20151113,103.95,202.54,66.21,152.2,73.96
20151116,104.04,205.62,68.03,149.1,75.3
20151117,105.13,205.47,69.19,151.2,75.07
20151118,107.77,208.73,69.4,151.4,75.9
20151119,106.26,208.55,69.42,153.1,76.22
20151120,107.32,209.3108,69.34,155.1,75.82
20151123,106.95,209.07,69.52,155.5,75.97
20151124,105.74,209.35,70.08,156.1,76.45
20151125,105.41,209.32,69.96,156.4,75.9
20151127,105.45,209.56,70.61,153.2,75.7
20151130,104.24,208.69,70.12,154.3,74.84
20151201,107.12,210.68,70.56,154.3,75.94
20151202,106.07,208.529,70.39,153.7,75.79
20151203,104.38,205.61,69.64,154.4,75.74
20151204,106.18,209.62,71.87,151,77.83
20151207,105.61,208.35,70.67,150.9,78.37
20151208,106.49,206.949,70.48,149.7,77.75
20151209,104.6,205.34,69.42,150.7,77.7
20151210,105.42,205.87,69.95,150.4,77.79
20151211,102.12,201.88,68.8,147.6,77.78
20151214,104.66,202.9008,69.62,146.5,78.29
20151215,104.55,205.0308,70.33,147.5,79.68
20151216,106.79,208.03,71.48,151.8,80.99
20151217,106.22,204.86,70.89,151.6,80.29
20151218,104.04,200.0208,71.52,151.3,78.13
20151221,104.77,201.67,71.97,150.3,78.95
20151222,105.51,203.5,71.54,150.8,79.6
20151223,104.63,206.02,72.18,152.2,79.92
20151224,105.02,205.68,72.35,151.8,79.79
20151228,105.93,205.21,72.38,150.9,79.92
20151229,107.26,207.4,72.85,150.8,80.36
20151230,106.22,205.93,72.59,150.7,80.07
20151231,104.66,203.87,72.13,152.5,79.41
20160104,102.22,201.0192,70.61,149.1,78.37
20160105,102.73,201.36,71.14,147.4,78.62
20160106,102.97,198.82,70.59,146,77.86
20160107,97.92,194.05,69.49,140.2,77.18
20160108,97.33,191.923,68.5,142.6,75.97
20160111,97.51,192.11,68.13,138,76.67
20160112,99.37,193.6608,69.2,136.1,76.51
20160113,95.44,188.83,67.76,137.4,75.85
20160114,98.37,191.93,68,137.1,76.15
20160115,94.97,187.81,67.45,137,74.98
20160119,95.26,188.06,66.59,139.8,76.73
20160120,94.35,185.65,65.44,135.4,75.83
20160121,94.16,186.69,65.58,133.1,76.72
20160122,97.94,190.52,66.99,139,77.36
20160125,97.01,187.64,66.31,144.3,76.85
20160126,97.34,190.2,66.08,141.8,78.81
20160127,94.45,188.13,66.21,140.5,78.8
20160128,109.11,189.11,66.55,141.6,79.82
20160129,112.21,193.7208,68.84,144.9,81.69
20160201,115.09,193.65,67.74,147,81.12
20160202,114.61,190.16,66.79,145.6,80.22
20160203,112.69,191.3,66.32,141.6,81.1
20160204,110.49,191.6,66.89,141.9,80.7
20160205,104.07,187.95,65.29,143.9,81.2
20160208,99.75,185.42,63.16,143.9,82.62
20160209,99.54,185.43,65.08,143.9,82.64
20160210,101,185.27,66.02,143.9,81.62
20160211,101.91,182.86,65.26,135.9,79.9
20160212,102.01,186.63,67.26,133.3,80.99
20160216,101.61,189.78,68.58,139.3,81.47
20160217,105.2,192.88,70.06,138.2,82.45
20160218,103.47,192.09,70.64,142.3,81.98
20160219,104.57,192,71.55,141.2,81.79
20160222,107.16,194.78,72.83,141.7,82.13
20160223,105.46,192.32,72.75,141.9,81.81
20160224,106.88,193.2,71.45,140.4,81.56
20160225,108.07,195.54,72.56,139,82.34
20160226,107.92,195.0892,72.46,142.7,81.1
20160229,106.92,193.56,70.52,141.9,80.29
20160301,109.82,198.11,71.51,144.5,81.23
20160302,109.95,199,70.85,148.3,82.55
20160303,109.58,199.775,70.09,147.6,82.84
20160304,108.39,200.43,69.5,147.2,83.49
20160307,105.73,200.59,69.96,146.5,83.1
20160308,105.93,198.4,68.7,146.3,83.06
20160309,107.51,199.38,69.46,145.7,82.96
20160310,107.32,199.54,68.95,145,82.28
20160311,109.41,202.76,69.62,148.1,81.75
20160314,109.89,202.5,69.71,153.3,81.17
20160315,110.67,202.17,69.31,151.3,81.31
20160316,112.18,203.34,69.77,150.9,81.34
20160317,111.02,204.63,70.23,152.3,82.75
20160318,111.45,204.38,71.27,157.9,83.15
20160321,111.85,204.67,71.38,158.1,83.32
20160322,112.25,204.56,71.63,159.5,82.74
20160323,112.54,203.2092,71.6,159.7,82.82
20160324,113.05,203.12,70.74,158.8,82.89
20160328,113.69,203.24,71.37,158.8,82.62
20160329,116.14,205.1208,72.67,157.3,82.8
20160330,114.7,206.02,73.15,158.2,82.68
20160331,114.1,205.52,74.08,158.4,82.31
20160401,116.06,206.92,74.61,158.5,83.53
20160404,112.55,206.25,74.2,158.5,83.21
20160405,112.22,204.1892,73.79,156.6,83.16
20160406,113.71,206.42,74.91,159,83.81
20160407,113.64,203.95,73.72,161.8,83.24
20160408,110.63,204.4992,73.44,160,83.2
20160411,108.99,204.0201,73.14,159.5,82.73
20160412,110.61,205.92,73.76,160,82.83
20160413,110.51,208.0008,74.07,164.5,82.46
20160414,110.84,208.01,74.35,165,82.01
20160415,109.64,207.78,74.64,165.3,82.3
20160418,110.45,209.2392,75.6,165.7,82.83
20160419,112.29,209.9,75.93,165.7,83.28
20160420,112.42,210.1,75.56,161.9,81.55
20160421,113.44,208.97,75.16,163.5,80.8
20160422,110.56,208.97,75.39,162.8,80.95
20160425,110.1,208.61,75.34,159.9,81.41
20160426,108.76,208.9192,75.97,161.8,79.55
20160427,108.89,209.35,76.36,159.5,79.89
20160428,116.73,207.4475,75.29,161,79.76
20160429,117.58,206.3308,75.94,158.9,80.12
